id	name	estdate	icon	score	about	factions_id
108	spartanelite	2014-12-27	AQ4OBAAEPxxapapVaVaVVVVVVWlWlVaVaVVpVpVWlWlVVVVVVVVVVVapVVWlpVVpVpVWVVlVVVVV	0	we will hold the line	
109	life	2014-12-27	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	is cool with TDG	
110	Knights	2014-12-27	AQ4OBAAwDAcAAAAAAAAAABVQAAVVQAFVVQARERABEREAFVVQAVVVABVVUAFVVQAFVUAAAAAAAAAA	0	Slaying the Galaxy	
111	NightMare	2014-12-27	AQ4OBAAwIBAAAAAAAVUDAFVUMAVVQwBFRDAEEEMAVVQwBERDAEAEMAREQwBVVDAFVUMAERAwAAAA	0	Your worst nightmare	
112	radiation	2014-12-27	AQ4OBAAwDAcAAAAAAAAAAAAAAAAQAAAFQAABRQAAUBQAFABQAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	we will rise and conqure	
113	flammingball	2014-12-27	AQ4OBAAgMCAF2qqg/qqqD///8PAAAA8AAAD1VVUPVVVQ8AAADwAAANAAAA8AAADwAAAPAAAA8AAA	0	Have fun trying	
114	InDaPlaceFTW	2014-12-27	AQ4OBAAOMh8AAAAAVVVQBAABAAMcAAA1wAADXAAANcAAA1wAADXAAANcAAA0wABAABAFVVUAAAAA	0	To be InDaPlace	
115	PENU	2014-12-27	AQ4OBAAwDAf+v/r/7//v+vAO+qCo6qomTqqiqOqoAAKqgqoqqKq+qoKAqqoDCqqoPCpaiqJVqBQl	0	THERE IS ONLY 1 PENU	
116	Asteroid	2014-12-27	AQ4OBAAgFDAAAAAAAAoIAAKCgACgoAAoKAAFVAgBVFKAEVWgAVUYABRVAABVQAAAAAAAAAAAAAAA	0	None Shall Oppose Us	
117	ASSASSINS68	2014-12-28	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
118	PhantomMess	2014-12-28	AQ4OBAAAMAP9VVf/WaZf1qqpdZr6ZWpqmpWrXqVrn26WufbpWrXqVqapqVmvpl1qqpf1mmX/1VV/	0	We make a mess out of yo	
119	GalaxyTaken	2014-12-28	AQ4OBAA8PQcAAAAAAAAAAhDEAAAAAAQCAMMDAwAAAAAAhBBAAAAAgAADAAhCBADAAAAAAADAAAAA	0	lets take over	
120	Spray_Tan	2014-12-28	AQ4OBAAwDAf1VVWvlVV6agAP1alX9VKl/FUav0VRYNRVFwlFUf6kVT9ahV/ValfwAKmtVVb6VVVf	0	Never Back Down	
121	EVS	2014-12-28	AQ4OBAAwPAGpVValplmlW3reVaqqpV///1X///VdcNdVXFNVVxpNVcb5NXG65NRmWZFZmmZVqqql	0	So fast, you missed it!	
122	Akatsuki	2014-12-29	AQ4OBAAgDD8AAAAAAAAAAD/AAA9XMA91XcNVVVwNVVXAPVVwA1XXAA9/wAAPAAAAAAAAAAAAAAAA	0	Daybreak	
123	DarkProgress	2014-12-29	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	We Move Forward	
124	KingsGlory	2014-12-29	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	We Vaporize	
